BUD	Anheuser-Busch InBev SA/NV	79.65	+0.54	+0.68%	4:02 PM EST	750.61k	1.25M	156.33B
ABBV	AbbVie Inc.	88.63	+1.00	+1.14%	4:02 PM EST	8.04M	7.86M	131.07B
MO	Altria Group, Inc.	47.97	+1.34	+2.87%	4:03 PM EST	8.33M	11.63M	89.61B
TAP	Molson Coors Brewing Company	52.52	+1.22	+2.38%	4:01 PM EST	1.83M	1.61M	11.39B
WEED.TO	Canopy Growth Corporation	20.29	-0.67	-3.20%	4:23 PM EST	2.08M	1.85M	7.06B
SMG	The Scotts Miracle-Gro Company	106.42	-0.15	-0.14%	4:02 PM EST	279.28k	440.83k	5.91B
CGC	Canopy Growth Corporation	15.33	-0.51	-3.22%	4:02 PM EST	8.34M	5.49M	5.32B
GWPH	GW Pharmaceuticals plc	108.41	+2.40	+2.26%	4:00 PM EST	733.40k	681.13k	3.43B
ACB	Aurora Cannabis Inc.	2.73	-0.56	-17.02%	4:01 PM EST	57.45M	15.70M	2.78B
CRON	Cronos Group Inc.	6.28	-0.54	-7.92%	4:00 PM EST	17.38M	5.48M	2.17B
TLRY	Tilray, Inc.	19.93	+0.12	+0.61%	4:00 PM EST	2.03M	1.77M	2.00B
HYG.TO	Hydrogenics Corporation	19.59	-	-	2:46 PM EDT	2.49k	9.79k	379.52M
CRBP	Corbus Pharmaceuticals Holdings, Inc.	4.45	+0.15	+3.49%	4:00 PM EST	836.35k	601.66k	287.79M
TGOD.TO	The Green Organic Dutchman Holdings Ltd.	0.7	-0.13	-15.66%	4:00 PM EST	5.99M	2.79M	192.81M
NBEV	New Age Beverages Corporation	2.26	+0.05	+2.26%	4:00 PM EST	1.53M	1.95M	177.06M
TRST.TO	CannTrust Holdings Inc.	1.15	-0.02	-1.71%	4:00 PM EST	426.50k	1.23M	162.36M
TGODF	The Green Organic Dutchman Holdings Ltd.	0.5448	-0.09	-14.15%	3:59 PM EST	1.98M	1.10M	148.09M
CTST	CannTrust Holdings Inc.	0.8748	-0.02	-1.71%	4:02 PM EST	1.64M	2.50M	122.51M
TRTC	Terra Tech Corp.	0.2225	+0.00	+0.72%	3:58 PM EST	609.99k	658.57k	25.59M
CANN	General Cannabis Corp	0.59	-0.01	-1.65%	3:58 PM EST	108.97k	166.64k	23.30M
MJ	ETFMG Alternative Harvest ETF	16.8	-0.39	-2.27%	4:00 PM EST	1.38M	678.34k